---------------------
========== [FLAGGED] =============
F0-25-72-70-A5-66 = -75
F0-25-72-70-C2-A0 = -67
F0-25-72-70-C2-A4 = -69
F0-25-72-7D-19-F0 = -47
F0-25-72-7D-19-F2 = -47
F0-25-72-7D-19-F4 = -47
F0-25-72-7D-19-F6 = -47
F0-25-72-7D-4F-36 = -63
F0-25-72-7D-7C-A0 = -73
F0-25-72-7D-7C-A2 = -69
F0-25-72-7D-7C-A4 = -71
F0-25-72-7D-7C-A6 = -69
F0-25-72-7D-88-70 = -45
F0-25-72-7D-88-72 = -45
F0-25-72-7D-88-74 = -45
F0-25-72-7D-88-76 = -45
F0-25-72-7D-8A-C2 = -51
F0-25-72-7D-8A-C4 = -51
F0-25-72-7D-8A-C6 = -51
F0-25-72-7D-AB-C4 = -73
F0-25-72-7D-FC-52 = -63
F0-25-72-7D-FC-54 = -63
F0-25-72-7D-FC-56 = -65
---------------------
00-22-75-43-1F-68 = -71
00-22-75-43-25-9C = -79
00-25-9C-52-91-1D = -63
56-5A-04-2F-2C-A1 = -75
6C-B0-CE-ED-2B-BB = -39
B4-18-D1-E0-33-DE = -59
F0-25-72-70-A5-66 = -75
F0-25-72-70-B6-70 = -75
F0-25-72-70-B6-74 = -75
F0-25-72-70-B6-76 = -75
F0-25-72-70-C2-A4 = -65
F0-25-72-70-C2-A6 = -69
F0-25-72-70-C5-B6 = -73
F0-25-72-7D-19-F0 = -51
F0-25-72-7D-19-F2 = -47
F0-25-72-7D-19-F4 = -49
F0-25-72-7D-19-F6 = -47
F0-25-72-7D-7C-A0 = -69
F0-25-72-7D-7C-A2 = -69
F0-25-72-7D-7C-A4 = -69
F0-25-72-7D-7C-A6 = -69
F0-25-72-7D-80-D0 = -77
F0-25-72-7D-80-D2 = -75
F0-25-72-7D-80-D6 = -77
F0-25-72-7D-88-70 = -41
F0-25-72-7D-88-72 = -41
F0-25-72-7D-88-74 = -43
F0-25-72-7D-88-76 = -41
F0-25-72-7D-88-F2 = -75
F0-25-72-7D-8A-C0 = -47
F0-25-72-7D-8A-C2 = -47
F0-25-72-7D-8A-C4 = -47
F0-25-72-7D-8A-C6 = -47
F0-25-72-7D-8B-30 = -63
F0-25-72-7D-8B-34 = -63
F0-25-72-7D-AB-C2 = -69
F0-25-72-7D-AB-C6 = -69
---------------------
00-22-75-43-1F-68 = -65
00-25-9C-52-91-1D = -57
02-11-87-A5-5A-72 = -55
56-5A-04-2F-2C-A1 = -71
6C-B0-CE-ED-2B-BB = -39
B4-18-D1-E0-33-DE = -55
F0-25-72-70-A5-66 = -71
F0-25-72-70-B6-70 = -75
F0-25-72-70-B6-74 = -75
F0-25-72-70-B6-76 = -75
F0-25-72-70-C2-A2 = -65
F0-25-72-70-C2-A4 = -65
F0-25-72-70-C2-A6 = -65
F0-25-72-70-C5-B6 = -73
F0-25-72-7D-19-F0 = -51
F0-25-72-7D-19-F2 = -47
F0-25-72-7D-19-F4 = -47
F0-25-72-7D-19-F6 = -47
F0-25-72-7D-4F-32 = -63
F0-25-72-7D-4F-36 = -63
F0-25-72-7D-7C-A0 = -71
F0-25-72-7D-7C-A2 = -73
F0-25-72-7D-7C-A4 = -73
F0-25-72-7D-7C-A6 = -75
F0-25-72-7D-80-D0 = -77
F0-25-72-7D-80-D2 = -75
F0-25-72-7D-80-D6 = -77
F0-25-72-7D-88-70 = -43
F0-25-72-7D-88-72 = -39
F0-25-72-7D-88-74 = -39
F0-25-72-7D-88-76 = -39
F0-25-72-7D-88-F0 = -75
F0-25-72-7D-8A-C0 = -47
F0-25-72-7D-8A-C2 = -47
F0-25-72-7D-8A-C4 = -47
F0-25-72-7D-8A-C6 = -47
F0-25-72-7D-EB-86 = -73
F0-25-72-7D-FC-50 = -53
F0-25-72-7D-FC-54 = -53
F0-25-72-7D-FC-56 = -55
---------------------
00-22-75-43-1F-68 = -65
00-22-75-43-25-9C = -79
00-25-9C-52-91-1D = -69
56-5A-04-2F-2C-A1 = -71
6C-B0-CE-ED-2B-BB = -39
B4-18-D1-E0-33-DE = -53
F0-25-72-70-B6-70 = -69
F0-25-72-70-B6-72 = -73
F0-25-72-70-B6-74 = -73
F0-25-72-70-B6-76 = -75
F0-25-72-70-C2-A2 = -71
F0-25-72-70-C2-A6 = -65
F0-25-72-7D-19-F0 = -51
F0-25-72-7D-19-F4 = -47
F0-25-72-7D-56-B0 = -75
F0-25-72-7D-56-B2 = -77
F0-25-72-7D-56-B6 = -77
F0-25-72-7D-7C-A0 = -71
F0-25-72-7D-7C-A2 = -71
F0-25-72-7D-7C-A4 = -73
F0-25-72-7D-7C-A6 = -69
F0-25-72-7D-80-D2 = -75
F0-25-72-7D-88-70 = -47
F0-25-72-7D-88-72 = -39
